V1;CORRELA_16;CORRE_9;IDOJ1;IDAIO;CIMREP;BRUTA;CONSUI;GAS;EMPAQUE;HONORA;COMISION;ARRIENDO;SEGURO;ASEO;ENERGIA;COMUNICA;PUBLICO;FLETES;PUBLICI;ADECUA;REGALA;OUTSOURCING;OTROS;SUELDOS;PRESTAC;VENTA;AGREGA;PERREMUN;SOCIOS;PERSONOM;DIRECTO;AGENCIA;APRENDIZ;TOTPERSO;PROMUJ;PROHOM;PERMUJ;PERHOM;DIRMUJ;DIRHOM;AGEMUJ;AGEHOM;APRENMUJ;APRENHOM;TOTMUJ;TOTHOM;SUEPLAN;PREPLAN;REMPLAN;COTIZA;GASAGEN;REMTEMP;TOTREM;INVINI;INVFIN;ROTACION;INVPRO;CTO;CTOINS;GASTOS;GASTOSNOP;GASTOPNOP
1228000;453;453-454;14;2009;0;4709593;1064810,5;0;67957;149187;4726;0;83296;60050;11660;14540;1138;138822;14309;343046;0;0;176079,5;700467;283524;8781141,662;3644782,5;13;0;13;0;0;0;13;0;0;7;6;0;0;0;0;0;0;7;6;700467;171343;871810;95408,44;0;0;967218,44;6887024;6603068;4118422;6745046;4118422;4118422;5566644;937551;7572133
1661546;453;453-454;14;2015;0;2154082;844037,5;0;0;100819;0;184910;30037;4023;50986;11055;4922;164717;26166;0;453;30563;85421,5;352976;155174;8698883,466;1310044,5;16;0;9;7;0;1;17;0;0;3;6;2;5;0;0;0;1;5;12;297762;83632;370624;61925,68;0;51270;483819,68;4750998;4237416;6497674;4494207;6497674;6497674;7397775;1060135;8995536
994025;453;453-454;14;1996;0;5085403;547604,5;0;0;287002;0;15328;16680;26429;48646;12082;6559;28139;5984;34552;0;0;62237,5;1180695;529129;8666585,997;4537798,5;37;0;16;21;0;2;39;0;0;6;10;10;11;0;0;0;2;16;23;652311;288972;805397;204995,72;0;512531;1522923,72;4377150;4686668;3628058;4531909;3628058;3628058;4334252;113166;6190561
1661885;453;453-454;14;2019;0;2251761;214531,5;0;0;58356;0;14045;4411;8468;24648;5263;3081;52521;1917;22469;0;0;19352,5;617360;201576;8584978;2037229,5;28;0;28;0;0;1;29;0;0;10;18;0;0;0;0;0;1;10;19;612836;104668;717504;83474,16;0;0;800978,16;383741;172966;6333217;278353,5;6333217;6333217;6750322;154857;7769733
1218011;453;453-454;14;1977;0;2867422;652688,5;0;6362;20967;387034;47508;6779;4747;3838;24448;926;81577;25163;3490;0;0;39849,5;513918;230067;8580623,747;2214733,5;18;0;18;0;0;1;19;0;0;8;10;0;0;0;0;1;0;9;10;508331;135654;643985;82506,28;0;0;726491,28;3883378;3238350;5760078;3560864;5760078;5760078;6592592;284873;7691462
992427;453;453-454;14;2007;0;2047555;311145;10;4850;28886;0;116711;32789;2268;7455;553;859;20439;36926;12467;4966;0;41966;547223;271229;8539020;1736410;13;0;13;0;0;0;13;0;0;4;9;0;0;0;0;0;0;4;9;547223;161489;708712;96241,2;0;0;804953,2;4087622;3693975;6491465;3890798,5;6491465;6491465;6998919;155886;8013437
1226540;453;453-454;14;1994;0;3799277;721139,5;0;0;195189;0;0;43944;26732;16861;19188;7644;108059;5429;21589;0;0;276504,5;874190;277200;8472344,173;3078137,5;27;2;27;0;0;1;30;0;2;6;21;0;0;0;0;0;1;6;24;865722;122509;988231;133013,4;0;0;1121244,4;3763142;3105432;4625943;3434287;4625943;4625943;5773737;538488;7734386
1890666;453;453-454;14;2009;0;2354209;220599;0;0;6323;0;147018;3383;4870;16187;16111;3374;11616;4989;0;0;0;6728;500880;182015;8432220;2133610;32;0;0;32;0;0;32;0;0;0;0;10;22;0;0;0;0;10;22;0;89253;0;81296,56;0;500880;582176,56;3376223;3137670;6078011;3256946,5;6078011;6078011;6373590;2560;7104657
994951;453;453-454;14;2011;0;2398084;802138,5;0;19398;55975;0;54652;36201;2200;7481;20192;1950;367885;40163;586;0;0;195455,5;623974;269144;8404998;1595945,5;14;0;14;0;0;0;14;0;0;3;11;0;0;0;0;0;0;3;11;623974;170110;794084;83777,36;0;0;877861,36;634304;569873;6006914;602088,5;6006914;6006914;7092494;122034;8123627
1769215;453;453-454;14;2016;0;1931687;462419;0;0;27516;120206;150690;8564;1374;8552;18417;1407;18906;30978;53709;0;0;22100;243416;93521;8398641;1469268;17;0;17;0;0;0;17;0;0;7;10;0;0;0;0;0;0;7;10;243416;55742;299158;32637,64;0;0;331795,64;1522917;1410832;6466954;1466874,5;6466954;6466954;6966933;171606;7490502
