KEYPPAL_L|KEYPPAL|NUM_LOTE|COB_TIPO|LOTE_TIPO|CUL_TIPO|ESTAB_TIPO|RIEGO_SN|CANT_CUL|CTL3_AGR_LCT_PAS|CTL3_COB_CULT_PAS|CTL4_ANO_COB_PAS|CTL4_AGR_LCT_FUT|LOT_OBS
0028BD68AE4CF31BFF40D9789FB02AFA01|0028BD68AE4CF31BFF40D9789FB02AFA|01|2|1|1|1|2|1|2|9||2|
0028BD68AE4CF31BFF40D9789FB02AFA02|0028BD68AE4CF31BFF40D9789FB02AFA|02|2|1|1|1|2|1|2|9||2|
0028BD68AE4CF31BFF40D9789FB02AFA03|0028BD68AE4CF31BFF40D9789FB02AFA|03|2|1|1|1|2|1|2|9||2|
0028BD68AE4CF31BFF40D9789FB02AFA04|0028BD68AE4CF31BFF40D9789FB02AFA|04|2|1|1|1|2|1|2|9||2|
002EDF2C3BD8A84B043A7E5BB2D2148901|002EDF2C3BD8A84B043A7E5BB2D21489|01|5|1|1|1|2|1|2|5||2|
002EDF2C3BD8A84B06805857874CD7BC01|002EDF2C3BD8A84B06805857874CD7BC|01|5|1|1|1|2|1|2|5||2|
002EDF2C3BD8A84B0DA86B67A330AD8701|002EDF2C3BD8A84B0DA86B67A330AD87|01|5|1|1|1|2|1|2|5||2|
002EDF2C3BD8A84B0F8FA24761291BAA01|002EDF2C3BD8A84B0F8FA24761291BAA|01|5|1|1|1|2|1|2|5||2|
002EDF2C3BD8A84B1C441B970CAB2E9701|002EDF2C3BD8A84B1C441B970CAB2E97|01|1|1|1|1|2|1|2|5||2|
002EDF2C3BD8A84B1C441B970CAB2E9702|002EDF2C3BD8A84B1C441B970CAB2E97|02|5|1|1|1|2|1|2|5||2|
002EDF2C3BD8A84B492A3863D387A41501|002EDF2C3BD8A84B492A3863D387A415|01|3|2|1|1|2|1|2|||2|
002EDF2C3BD8A84B492A3863D387A41502|002EDF2C3BD8A84B492A3863D387A415|02|5|1|1|1|2|1|2|5||2|
002EDF2C3BD8A84B5118B741D4027BE901|002EDF2C3BD8A84B5118B741D4027BE9|01|1|1|1|1|2|1|2|5||2|
002EDF2C3BD8A84B5118B741D4027BE902|002EDF2C3BD8A84B5118B741D4027BE9|02|5|1|1|1|1|1|1||||
002EDF2C3BD8A84B5118B741D4027BE903|002EDF2C3BD8A84B5118B741D4027BE9|03||2|1|1|2|1|2|||2|
002EDF2C3BD8A84B574EFCEBD7B881D301|002EDF2C3BD8A84B574EFCEBD7B881D3|01|1|1|1|1|2|1|2|5||2|
002EDF2C3BD8A84B574EFCEBD7B881D302|002EDF2C3BD8A84B574EFCEBD7B881D3|02|5|1|1|1|2|1|2|5||2|
002EDF2C3BD8A84B59CED4FD30BC11A901|002EDF2C3BD8A84B59CED4FD30BC11A9|01|5|1|1|1|2|1|2|5||2|
002EDF2C3BD8A84B7D4B552B3C83879101|002EDF2C3BD8A84B7D4B552B3C838791|01|5|1|1|1|2|1|2|5||2|
002EDF2C3BD8A84B9A69D118AB450F4701|002EDF2C3BD8A84B9A69D118AB450F47|01|1|1|1|1|2|1|2|5||2|
002EDF2C3BD8A84B9A69D118AB450F4702|002EDF2C3BD8A84B9A69D118AB450F47|02|1|1|1|1|2|1|2|1|2018|2|
002EDF2C3BD8A84B9A69D118AB450F4703|002EDF2C3BD8A84B9A69D118AB450F47|03|5|1|1|1|2|1|2|5||2|
002EDF2C3BD8A84BA079937A623A0CFA01|002EDF2C3BD8A84BA079937A623A0CFA|01|5|1|1|1|2|1|2|5||2|
002EDF2C3BD8A84BD11A633B8F9637CD01|002EDF2C3BD8A84BD11A633B8F9637CD|01|5|1|1|1|2|1|2|5||2|
002EDF2C3BD8A84BE47E17FC61D8550B01|002EDF2C3BD8A84BE47E17FC61D8550B|01|1|1|1|1|2|1|1||||
002EDF2C3BD8A84BE47E17FC61D8550B02|002EDF2C3BD8A84BE47E17FC61D8550B|02||2|1|1|2|1|1||||
002EDF2C3BD8A84BE47E17FC61D8550B03|002EDF2C3BD8A84BE47E17FC61D8550B|03||2|1|1|2|1|2|||2|
002EDF2C3BD8A84BE47E17FC61D8550B04|002EDF2C3BD8A84BE47E17FC61D8550B|04|5|1|1|1|2|1|2|5||2|
0033781D71491A3C00CBE9F5DCBB7D8701|0033781D71491A3C00CBE9F5DCBB7D87|01|2|1|1|1|1|1|2|5||2|
0033781D71491A3C00CBE9F5DCBB7D8702|0033781D71491A3C00CBE9F5DCBB7D87|02|5|1|1|1|2|1|2|5||2|
0033781D71491A3C05639E37FAE7700901|0033781D71491A3C05639E37FAE77009|01|1|1|1|1|1|1|1||||
0033781D71491A3C05639E37FAE7700902|0033781D71491A3C05639E37FAE77009|02||2|1|1|1|1|1||||
0033781D71491A3C05639E37FAE7700903|0033781D71491A3C05639E37FAE77009|03||2|1|1|1|1|2|||2|
0033781D71491A3C0E63AE2431177F1601|0033781D71491A3C0E63AE2431177F16|01|1|1|1|1|1|1|1||||
0033781D71491A3C0E63AE2431177F1602|0033781D71491A3C0E63AE2431177F16|02||2|1|1|1|1|1||||
0033781D71491A3C0E63AE2431177F1603|0033781D71491A3C0E63AE2431177F16|03||2|1|1|1|1|2|||2|
0033781D71491A3C0E63AE2431177F1604|0033781D71491A3C0E63AE2431177F16|04|5|1|1|1|2|1|2|5||2|
0033781D71491A3C15293D44A2BEF60301|0033781D71491A3C15293D44A2BEF603|01|1|1|1|1|1|1|1||||
0033781D71491A3C15293D44A2BEF60302|0033781D71491A3C15293D44A2BEF603|02||2|1|1|1|1|1||||
0033781D71491A3C15293D44A2BEF60303|0033781D71491A3C15293D44A2BEF603|03||2|1|1|1|1|2|||2|
0033781D71491A3C1BECC6F824E99EDF01|0033781D71491A3C1BECC6F824E99EDF|01|1|1|1|1|1|1|1||||
0033781D71491A3C1BECC6F824E99EDF02|0033781D71491A3C1BECC6F824E99EDF|02||2|1|1|1|1|2|||2|
0033781D71491A3C1BECC6F824E99EDF03|0033781D71491A3C1BECC6F824E99EDF|03|1|1|1|1|1|1|1||||
0033781D71491A3C1BECC6F824E99EDF04|0033781D71491A3C1BECC6F824E99EDF|04||2|1|1|1|1|1||||
0033781D71491A3C1BECC6F824E99EDF05|0033781D71491A3C1BECC6F824E99EDF|05||2|1|1|1|1|1||||
0033781D71491A3C1BECC6F824E99EDF06|0033781D71491A3C1BECC6F824E99EDF|06||2|1|1|1|1|2|||2|
0033781D71491A3C1BECC6F824E99EDF07|0033781D71491A3C1BECC6F824E99EDF|07|5|1|1|1|2|1|2|5||2|
0033781D71491A3C1F855925F9044BCE01|0033781D71491A3C1F855925F9044BCE|01|1|1|1|1|1|1|1||||
0033781D71491A3C1F855925F9044BCE02|0033781D71491A3C1F855925F9044BCE|02||2|1|1|1|1|2|||2|
0033781D71491A3C1F855925F9044BCE03|0033781D71491A3C1F855925F9044BCE|03|5|1|1|1|2|1|2|5||2|
0033781D71491A3C2DA3DB20E3EC298101|0033781D71491A3C2DA3DB20E3EC2981|01|1|1|1|1|1|1|1||||
0033781D71491A3C2DA3DB20E3EC298102|0033781D71491A3C2DA3DB20E3EC2981|02||2|1|1|1|1|1||||
0033781D71491A3C2DA3DB20E3EC298103|0033781D71491A3C2DA3DB20E3EC2981|03||2|1|1|1|1|1||||
0033781D71491A3C2DA3DB20E3EC298104|0033781D71491A3C2DA3DB20E3EC2981|04||2|1|1|2|1|2|||2|
0033781D71491A3C2DA3DB20E3EC298105|0033781D71491A3C2DA3DB20E3EC2981|05|1|1|1|1|1|1|1||||
