KEYPPAL_PR|KEYPPAL|NUM_PRODUCTOR|AUTO_REC_PROD|COND_CAM_PROD_SN|FUE_CAM_PROD_SN|COMU_CAM_SN|SIT_DESPLAZ_OPA|SIT_DESPLAZ_OPB|SIT_DESPLAZ_OPC|SIT_DESPLAZ_OPD|ANIO_DESPLAZ_FOR|ANIO_DESPOJO|ANIO_ABAN_FORZ|RES_PROD_SN|COD_DPTO_RESPROD|MET_MEDICION|D_EUCLIDIANA_KM|D_GEODESICA_KM|PROD_SEX|MUJCABFAM_SN|NIVEL_ESTUD|EDAD_PROD|RAZA_PROD|DED_PROD|PROD_SEG_OPA|PROD_SEG_OPB|PROD_SEG_OPC|PROD_SEG_OPD
7197F8918E49F7C5274C3D01378FD08501|7197F8918E49F7C5274C3D01378FD085|01|2|||||||||||2|47|punto alcaldia municipal|12.4325346387001|12.4346389542207|1|1|6|58|6|3|||1|
71AB098802F1BF75892041B86CCF807901|71AB098802F1BF75892041B86CCF8079|01|1|2|2|1||||1||||1||UPA|0|0|1|1|4|74|6|1|||1|
71AB098802F1BF75E007BF1894B43FF601|71AB098802F1BF75E007BF1894B43FF6|01|2|||||||||||2|73|punto alcaldia municipal|10.1491205682252|10.2137603701421|1|1|1|71|6|6|||1|
71AB098802F1BF75F1D42FB2DE89787001|71AB098802F1BF75F1D42FB2DE897870|01|1|1||1||||1||||2|73|punto alcaldia municipal|10.9281016084701|10.9451577123988|2|1|2|50|6|1|||1|
71AB27A1ADFCADBA2BCE4500CE9A925F01|71AB27A1ADFCADBA2BCE4500CE9A925F|01|1|1||1|1||||2000|||1||UPA|0|0|1|1|2|32|6|1|||1|
71AB27A1ADFCADBA49E16607E593DDD301|71AB27A1ADFCADBA49E16607E593DDD3|01|1|1||1||||1||||1||UPA|0|0|1|2|3|21|6|1|||1|
71AB27A1ADFCADBA94998D7CA0C5E28E01|71AB27A1ADFCADBA94998D7CA0C5E28E|01|2|||||||||||2|73|punto alcaldia municipal|17.7070590504702|17.7985692517908|2|2|6|55|6|2|||1|
71AB27A1ADFCADBAAB1E7ACFA8D5B87301|71AB27A1ADFCADBAAB1E7ACFA8D5B873|01|1|1||1|||1||||2000|1||UPA|0|0|1|1|1|37|6|1|||1|
71AB27A1ADFCADBABEE642F611A15FC901|71AB27A1ADFCADBABEE642F611A15FC9|01|1|1||1||||1||||1||UPA|0|0|1|1|1|35|6|1|||1|
71AB27A1ADFCADBAD1715CBA87C6490B01|71AB27A1ADFCADBAD1715CBA87C6490B|01|1|1||1||||1||||2|73|punto alcaldia municipal|17.6612025690911|17.7508822617921|1|1|1|54|6|2|||1|
71AB27A1ADFCADBADDE1213F265EDA2001|71AB27A1ADFCADBADDE1213F265EDA20|01|1|1||1|1||||2003|||1||UPA|0|0|2|1|2|58|6|1|||1|
71BA6DFBDFCBEC6C21AB9A0E0F0F444F01|71BA6DFBDFCBEC6C21AB9A0E0F0F444F|01|1|1||1||||1||||1||UPA|0|0|1|2|1|69|6|1|||1|
71BA6DFBDFCBEC6CFFE668C4C0BCEB5901|71BA6DFBDFCBEC6CFFE668C4C0BCEB59|01|1|1||1||||1||||1||UPA|0|0|1|2|8|70|6|2|||1|
71C6168FE91EA30E21ECD6FFAFF478B301|71C6168FE91EA30E21ECD6FFAFF478B3|01|1|1||1||||1||||2|41|punto alcaldia municipal|1.41204968503616|1.41242900409472|2|1|6|54|6|1|||1|
71C6168FE91EA30E48D2A030D3C30D6C01|71C6168FE91EA30E48D2A030D3C30D6C|01|1|1||1||||1||||1||UPA|0|0|1|1|8|82|6|1|||1|
71C6168FE91EA30E71D4A561CA116A2301|71C6168FE91EA30E71D4A561CA116A23|01|2|||||||||||2|41|punto alcaldia municipal|1.88333548403806|1.88425960192472|1|1|6|73|6|2|||1|
71C6168FE91EA30E7DAB590C45EE3EF001|71C6168FE91EA30E7DAB590C45EE3EF0|01|1|1||1||||1||||2|41|punto alcaldia municipal|1.05066648525309|1.05231820622548|2|1|1|44|6|3|||1|
71C6168FE91EA30EAAD57FD41765EE4C01|71C6168FE91EA30EAAD57FD41765EE4C|01|1|1||1||||1||||2|41|punto alcaldia municipal|0.743023549923928|0.747275869024115|1|1|6|45|6|1|||1|
71C6168FE91EA30EB9CB708256524F0501|71C6168FE91EA30EB9CB708256524F05|01|1|1||1||||1||||2|41|punto alcaldia municipal|1.18352771653828|1.18490392660324|1|1|6|66|6|2|||1|
71C6168FE91EA30EBB11DA73D1ABBC2701|71C6168FE91EA30EBB11DA73D1ABBC27|01|2|||||||||||2|41|punto alcaldia municipal|0.81548150263038|0.817665572773313|1|1|6|80|6|2|||1|
71C6168FE91EA30EC4DB6AC6A830344401|71C6168FE91EA30EC4DB6AC6A8303444|01|1|1||1||||1||||2|41|punto alcaldia municipal|0.692488114741605|0.695314902809364|1|1|2|53|6|2|||1|
71C6168FE91EA30EE8B00C24EBC6378101|71C6168FE91EA30EE8B00C24EBC63781|01|2|||||||||||1||UPA|0|0|1|2|3|53|6|1|||1|
71C6168FE91EA30EF57B497A5A1C424401|71C6168FE91EA30EF57B497A5A1C4244|01|1|1||1||||1||||2|41|centroide vereda|0.677360487429905|0.677699009528098|2|1|1|42|6|1|||1|
71D538C9FAD713DF12779FC1FBF2D26201|71D538C9FAD713DF12779FC1FBF2D262|01|1|1||1||||1||||1||UPA|0|0|1|1|1|43|6|1|||1|
71D538C9FAD713DF1BAD8E3D91CDA58701|71D538C9FAD713DF1BAD8E3D91CDA587|01|1|1||1||||1||||1||UPA|0|0|1|1|1|55|6|1|||1|
71D538C9FAD713DF233DCB8051188E8001|71D538C9FAD713DF233DCB8051188E80|01|1|1||1||||1||||1||UPA|0|0|1|1|1|46|6|2|||1|
71D538C9FAD713DF264C60F03858F1BE01|71D538C9FAD713DF264C60F03858F1BE|01|1|1||1||||1||||2|15|punto alcaldia municipal|2.07092229305952|2.08162219259456|1|1|1|41|6|2|||1|
71D538C9FAD713DF35D320EA8773B66001|71D538C9FAD713DF35D320EA8773B660|01|1|1||1||||1||||2|15|centroide vereda|1.58907722611972|1.59847152898432|2|1|1|53|6|2|||1|
71D538C9FAD713DF48D4C56D8D724E3001|71D538C9FAD713DF48D4C56D8D724E30|01|1|1||1||||1||||1||UPA|0|0|2|2|1|64|6|1|||1|
71D538C9FAD713DF7EBA641DC6FEEF9001|71D538C9FAD713DF7EBA641DC6FEEF90|01|1|1||1||||1||||1||UPA|0|0|2|2|8|66|6|2|||1|
71D538C9FAD713DFB114C428406CCF6D01|71D538C9FAD713DFB114C428406CCF6D|01|1|1||1||||1||||2|15|punto alcaldia municipal|2.17644545348784|2.18813442864366|1|2|1|60|6|2|||1|
71DA46B5F3535CCD3468AFD9A4BDE57F01|71DA46B5F3535CCD3468AFD9A4BDE57F|01|2|||||||||||2|11|punto alcaldia municipal|243.265023091736|243.535315051164|1|2|6|99|6|6|||1|
71DA46B5F3535CCD3468AFD9A4BDE57F02|71DA46B5F3535CCD3468AFD9A4BDE57F|02|2|||||||||||2|11|punto alcaldia municipal|243.265023091736|243.535315051164|1|2|6|99|6|5|||1|
71DA46B5F3535CCD3468AFD9A4BDE57F03|71DA46B5F3535CCD3468AFD9A4BDE57F|03|2|||||||||||2|11|punto alcaldia municipal|243.265023091736|243.535315051164|1|2|6|99|6|5|||1|
71DA46B5F3535CCD3468AFD9A4BDE57F04|71DA46B5F3535CCD3468AFD9A4BDE57F|04|2|||||||||||2|11|punto alcaldia municipal|243.265023091736|243.535315051164|2|2|3|99|6|6|||1|
71DA46B5F3535CCD8F467D52D1DD6E2C01|71DA46B5F3535CCD8F467D52D1DD6E2C|01|1|1||1||||1||||2|85|punto alcaldia municipal|11.2187211935327|11.272949117523|1|2|3|58|6|2|||1|
71DA46B5F3535CCD8F467D52D1DD6E2C02|71DA46B5F3535CCD8F467D52D1DD6E2C|02|2|||||||||||2|85|centroide vereda|1.25723493490613|1.2566119918203|2|2|1|69|6|6|||1|
71DA46B5F3535CCD8F467D52D1DD6E2C03|71DA46B5F3535CCD8F467D52D1DD6E2C|03|2|||||||||||2|85|punto alcaldia municipal|11.2187211935327|11.272949117523|1|2|2|53|6|5|||1|
71DA46B5F3535CCD8F467D52D1DD6E2C04|71DA46B5F3535CCD8F467D52D1DD6E2C|04|2|||||||||||2|85|centroide vereda|1.25723493490613|1.2566119918203|1|2|1|30|6|5|||1|
71DA46B5F3535CCDD2215AC123D8364101|71DA46B5F3535CCDD2215AC123D83641|01|1|1||1||||1||||2|85|punto alcaldia municipal|10.48565294972|10.5339386447033|1|2|1|54|6|1|||1|
71F49E054E8E91F669C12CE4B99E453101|71F49E054E8E91F669C12CE4B99E4531|01|1|1||1||||1||||1||UPA|0|0|2|1|1|74|6|1|||1|
71F49E054E8E91F6E20AC565778D474801|71F49E054E8E91F6E20AC565778D4748|01|1|2|2|2||||1||||1||UPA|0|0|1|1|3|67|6|2|||1|
71F9B757928432A712D6033765B649E401|71F9B757928432A712D6033765B649E4|01|1|1||1||||1||||1||UPA|0|0|1|2|8|79|6|3|||1|
71F9B757928432A7216048195B0B183201|71F9B757928432A7216048195B0B1832|01|1|1||1||||1||||2|05|centroide vereda|2.26521354828913|2.26779737034995|2|1|5|58|6|2|||1|
71F9B757928432A72AA31DE635FB230D01|71F9B757928432A72AA31DE635FB230D|01|2|||||||||||1||UPA|0|0|1|1|5|54|6|2|||1|
71F9B757928432A74DD75E697512F20C01|71F9B757928432A74DD75E697512F20C|01|1|1||1|||1||||1993|1||UPA|0|0|2|2|2|47|6|1|||1|
71F9B757928432A767303A94173A6CA001|71F9B757928432A767303A94173A6CA0|01|1|1||1||||1||||1||UPA|0|0|1|1|8|85|6|1|||1|
71F9B757928432A788077DDAC0805CA601|71F9B757928432A788077DDAC0805CA6|01|1|1||1||||1||||2|05|punto alcaldia municipal|10.4521265979203|10.4543151915936|2|1|3|45|6|1|||1|
71F9B757928432A78A25214E3EA2C05F01|71F9B757928432A78A25214E3EA2C05F|01|1|1||1||||1||||1||UPA|0|0|1|1|1|62|6|1|||1|
71F9B757928432A7B6795734318F521A01|71F9B757928432A7B6795734318F521A|01|1|1||1|||1||||1992|1||UPA|0|0|2|1|2|40|6|2|||1|
71F9B757928432A7B8C73D9D0130145001|71F9B757928432A7B8C73D9D01301450|01|1|1||1||||1||||2|05|centroide vereda|2.03617766059088|2.03669138759157|1|1|3|41|6|2|||1|
71F9B757928432A7EAF7A025E9A17BE201|71F9B757928432A7EAF7A025E9A17BE2|01|1|1||1||||1||||2|05|centroide vereda|2.24373361522319|2.24615120928885|1|1|1|73|6|1|||1|
71F9B757928432A7FD197FF701E09B2401|71F9B757928432A7FD197FF701E09B24|01|1|1||1||||1||||2|05|centroide vereda|2.13795533499034|2.13746426362406|2|2|8|78|6|2|||1|
71FA6B99E93C46F56A27C63A1955D10B01|71FA6B99E93C46F56A27C63A1955D10B|01|1|1||1||||1||||1||UPA|0|0|1|1|1|32|6|1|||1|
71FA6B99E93C46F5ADB16835E4D8B3E201|71FA6B99E93C46F5ADB16835E4D8B3E2|01|1|1||1||||1||||1||UPA|0|0|1|1|1|35|6|1|||1|
71FA6B99E93C46F5AE4EB3487B020BF701|71FA6B99E93C46F5AE4EB3487B020BF7|01|1|1||1||||1||||1||UPA|0|0|2|1|1|67|6|1|||1|
71FA6B99E93C46F5D66C8B1466F3230B01|71FA6B99E93C46F5D66C8B1466F3230B|01|1|1||1||||1||||2|05|centroide vereda|1.75300362435906|1.75167625650952|1|1|8|70|6|5|||1|
71FA6B99E93C46F5D8A1CC2F9BDAFC3001|71FA6B99E93C46F5D8A1CC2F9BDAFC30|01|1|1||1||||1||||1||UPA|0|0|2|1|1|44|6|1|||1|
71FA6B99E93C46F5DDC70D511921370501|71FA6B99E93C46F5DDC70D5119213705|01|1|1||1||||1||||1||UPA|0|0|1|1|1|60|6|1|||1|
72339423D1C3847A0FBF49D3EFD43B5B01|72339423D1C3847A0FBF49D3EFD43B5B|01|2|||||||||||1||UPA|0|0|1|1|1|85|6|1|||1|
72339423D1C3847A265B57C5CC9A56D601|72339423D1C3847A265B57C5CC9A56D6|01|2|||||||||||2|41|punto alcaldia municipal|5.37021628849038|5.3672401990483|2|2|2|55|6|1|||1|
72339423D1C3847A3591D9375B6987FF01|72339423D1C3847A3591D9375B6987FF|01|1|1||1||||1||||2|41|punto alcaldia municipal|5.27766112814972|5.27449715264108|1|1|1|50|6|1|||1|
72339423D1C3847A38F42D3167A4A67101|72339423D1C3847A38F42D3167A4A671|01|1|1||1||||1||||1||UPA|0|0|2|1|1|66|6|1|||1|
72339423D1C3847A5A85BB8703F55F7E01|72339423D1C3847A5A85BB8703F55F7E|01|1|1||1||||1||||1||UPA|0|0|1|1|1|62|6|1|||1|
72339423D1C3847A7352DC440B78B74001|72339423D1C3847A7352DC440B78B740|01|1|1||1||||1||||1||UPA|0|0|1|1|5|61|6|1|||1|
72339423D1C3847A7D0791676659810701|72339423D1C3847A7D07916766598107|01|1|1||1||||1||||2|41|centroide vereda|2.0034226909216|2.01281490178825|1|1|1|50|6|1|||1|
72339423D1C3847AA4B297130E168A1001|72339423D1C3847AA4B297130E168A10|01|1|1||1||||1||||1||UPA|0|0|1|1|1|68|6|1|||1|
72339423D1C3847AEAD1EA43704F179201|72339423D1C3847AEAD1EA43704F1792|01|1|1||1||||1||||1||UPA|0|0|2|1|1|65|6|1|||1|
72339423D1C3847AF4DA4BE9FE390CAF01|72339423D1C3847AF4DA4BE9FE390CAF|01|1|1||1||||1||||2|41|punto alcaldia municipal|5.685591346873|5.68208775303413|1|1|1|46|6|1|||1|
72339423D1C3847AFDFABB53A23F7B1001|72339423D1C3847AFDFABB53A23F7B10|01|1|1||2||||1||||2|41|centroide vereda|7.96047498397806|7.95558793791793|1|1|1|58|6|1|||1|
724929223CED4073678D29317C337A3E01|724929223CED4073678D29317C337A3E|01|1|1||1||||1||||2|85|punto alcaldia municipal|37.1832865522994|37.2450184554762|2|1|5|53|6|2|||1|
724929223CED4073717B70ADDD2DEE9301|724929223CED4073717B70ADDD2DEE93|01|1|1||1||||1||||1||UPA|0|0|1|1|2|54|6|1|||1|
724A71812028833E00B2C7C5A9CBEB4E01|724A71812028833E00B2C7C5A9CBEB4E|01|1|1||1||||1||||2|54|centroide vereda|3.62654412495484|3.64135379684833|2|1|6|70|6|5|||1|
724A71812028833E22343842AADC406101|724A71812028833E22343842AADC4061|01|2|||||||||||2|54|punto alcaldia municipal|2.98017939341214|2.97967196450019|1|1|1|34|6|2|||1|
